y_tile,x_tile,CBG Code
99111,76447,421010365011
99112,76447,421010365011
99112,76448,421010365011
99112,76449,421010365011
99113,76446,421010365011
99113,76447,421010365011
99113,76448,421010365011
99113,76449,421010365011
99113,76450,421010365011
99114,76445,421010365011
99114,76446,421010365011
99114,76447,421010365011
99114,76448,421010365011
99114,76449,421010365011
99114,76450,421010365011
99114,76451,421010365011
99115,76444,421010365011
99115,76445,421010365011
99115,76446,421010365011
99115,76447,421010365011
99116,76454,421010365013
99117,76451,421010365013
99117,76452,421010365013
99117,76453,421010365013
99117,76454,421010365013
99117,76455,421010365013
99117,76463,421010365021
99118,76449,421010365013
99118,76450,421010365013
99118,76451,421010365013
99118,76452,421010365013
99118,76453,421010365013
99118,76454,421010365012
99118,76455,421010365012
99118,76456,421010365022
99118,76462,421010365021
99118,76463,421010365021
99119,76440,421010358001
99119,76446,421010365013
99119,76447,421010365013
99119,76448,421010365013
99119,76449,421010365013
99119,76450,421010365013
99119,76451,421010365013
99119,76452,421010365012
99119,76453,421010365012
99119,76454,421010365012
99119,76455,421010365012
99119,76456,421010365022
99119,76457,421010365022
99119,76458,421010365022
99119,76461,421010365021
99119,76462,421010365021
99119,76463,421010365021
99120,76439,421010358001
99120,76440,421010358001
99120,76441,421010358001
99120,76444,421010365013
99120,76445,421010365013
99120,76446,421010365013
99120,76451,421010365012
99120,76452,421010365012
99120,76453,421010365012
99120,76454,421010365012
99120,76455,421010365022
99120,76456,421010365022
99120,76457,421010365022
99120,76458,421010365022
99120,76459,421010365022
99120,76460,421010365021
99120,76461,421010365021
99120,76462,421010365021
99121,76438,421010358001
99121,76439,421010358001
99121,76440,421010358001
99121,76441,421010358001
99121,76442,421010358001
99121,76450,421010365012
99121,76451,421010365012
99121,76452,421010365012
99121,76453,421010365012
99121,76454,421010365012
99121,76455,421010365022
99121,76456,421010365022
99121,76457,421010365022
99121,76458,421010365022
99121,76459,421010365022
99121,76460,421010365022
99121,76461,421010365021
99121,76462,421010365021
99122,76437,421010358001
99122,76438,421010358001
99122,76439,421010358001
99122,76440,421010358001
99122,76441,421010358001
99122,76442,421010358001
99122,76443,421010358001
99122,76444,421010358001
99122,76449,421010365012
99122,76450,421010365012
99122,76451,421010365012
99122,76452,421010365012
99122,76453,421010365012
99122,76455,421010365022
99122,76456,421010365022
99122,76457,421010365022
99122,76458,421010365022
99122,76459,421010365022
99122,76460,421010365021
99122,76461,421010365021
99122,76462,421010365021
99122,76463,421010365021
99122,76464,421010365021
99122,76465,421010365021
99122,76466,421010365021
99123,76436,421010358001
99123,76437,421010358001
99123,76438,421010358001
99123,76460,421010365021
99123,76461,421010365021
99124,76436,421010358003
99124,76437,421010358003
99124,76438,421010358003
99124,76469,421010364001
99125,76434,421010358003
99125,76435,421010358003
99125,76436,421010358003
99125,76437,421010358003
99125,76438,421010358003
99125,76439,421010358003
99125,76440,421010358003
99125,76447,421010359001
99125,76448,421010359001
99125,76467,421010364001
99125,76468,421010364001
99125,76469,421010364001
99125,76470,421010364001
99126,76433,421010358003
99126,76434,421010358003
99126,76435,421010358003
99126,76436,421010358003
99126,76437,421010358003
99126,76438,421010358003
99126,76439,421010358003
99126,76440,421010358003
99126,76441,421010358003
99126,76442,421010358003
99126,76447,421010359001
99126,76448,421010359001
99126,76449,421010359001
99126,76466,421010364001
99126,76467,421010364001
99126,76468,421010364001
99126,76469,421010364001
99126,76470,421010364001
99126,76471,421010364001
99127,76442,421010358002
99127,76443,421010358002
99127,76446,421010359001
99127,76447,421010359001
99127,76448,421010359001
99127,76449,421010359001
99127,76450,421010359001
99127,76460,421010364001
99127,76465,421010364001
99127,76466,421010364001
99127,76467,421010364001
99127,76468,421010364001
99127,76469,421010364001
99127,76470,421010364001
99128,76430,421010357022
99128,76431,421010357022
99128,76432,421010357022
99128,76441,421010358002
99128,76442,421010358002
99128,76443,421010358002
99128,76444,421010358002
99128,76446,421010359001
99128,76447,421010359001
99128,76448,421010359001
99128,76449,421010359001
99128,76450,421010359001
99128,76451,421010359001
99128,76459,421010364001
99128,76460,421010364001
99129,76429,421010357022
99129,76430,421010357022
99129,76431,421010357022
99129,76432,421010357022
99129,76433,421010357022
99129,76440,421010358002
99129,76441,421010358002
99129,76442,421010358002
99129,76443,421010358002
99129,76444,421010358002
99129,76445,421010359001
99129,76446,421010359001
99129,76447,421010359001
99129,76448,421010359001
99129,76452,421010359002
99129,76453,421010359002
99130,76428,421010357022
99130,76429,421010357022
99130,76430,421010357021
99130,76431,421010357021
99130,76432,421010357022
99130,76433,421010357022
99130,76434,421010357022
99130,76439,421010358002
99130,76440,421010358002
99130,76441,421010358002
99130,76442,421010358002
99130,76443,421010358002
99130,76444,421010358002
99130,76451,421010359002
99130,76452,421010359002
99130,76453,421010359002
99130,76482,421010363031
99130,76483,421010363031
99130,76484,421010363031
99131,76427,421010357022
99131,76428,421010357022
99131,76429,421010357021
99131,76430,421010357021
99131,76431,421010357021
99131,76432,421010357022
99131,76433,421010357022
99131,76434,421010357022
99131,76435,421010357022
99131,76436,421010357022
99131,76439,421010358002
99131,76440,421010358002
99131,76441,421010358002
99131,76450,421010359002
99131,76451,421010359002
99131,76452,421010359002
99131,76453,421010359002
99131,76481,421010363031
99131,76482,421010363031
99131,76483,421010363031
99131,76484,421010363031
99132,76426,421010357021
99132,76427,421010357021
99132,76428,421010357021
99132,76429,421010357021
99132,76430,421010357021
99132,76431,421010357021
99132,76432,421010357021
99132,76433,421010357021
99132,76434,421010357021
99132,76450,421010359002
99132,76451,421010359002
99132,76452,421010359002
99132,76453,421010359002
99132,76454,421010359002
99132,76481,421010363031
99132,76482,421010363031
99132,76483,421010363031
99132,76484,421010363031
99132,76485,421010363031
99133,76425,421010357021
99133,76426,421010357021
99133,76427,421010357021
99133,76428,421010357021
99133,76429,421010357021
99133,76430,421010357021
99133,76448,421010359002
99133,76449,421010359002
99133,76450,421010359002
99133,76451,421010359002
99133,76452,421010359002
99133,76453,421010359002
99133,76454,421010360003
99133,76481,421010363031
99133,76482,421010363031
99133,76483,421010363031
99133,76484,421010363031
99134,76453,421010360003
99134,76454,421010360003
99134,76481,421010363031
99134,76482,421010363031
99134,76483,421010363031
99134,76484,421010363031
99135,76423,421010356022
99135,76452,421010360003
99135,76453,421010360003
